Suburb,Address,Rooms,Price,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Type_ord,Type_t,Type_u,Method_S,Method_SA,Method_SP,Method_VB,Price_Scaled,Landsize_scaled,bedroom_x_bathroom,price_per_room,price_per_bathroom,Landsize_log1p
Abbotsford,85 Turner St,2,1480000.0,Biggin,2.5,3067.0,2.0,1.0,1.0,202.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,1.1223165573169671,-0.1992170771917672,2.0,740000.0,1480000.0,5.313205979041787
Abbotsford,25 Bloomburg St,2,1035000.0,Biggin,2.5,3067.0,2.0,1.0,0.0,156.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.14097200320763717,-0.2299930404622818,2.0,517500.0,1035000.0,5.056245805348308
Abbotsford,5 Charles St,3,1465000.0,Biggin,2.5,3067.0,3.0,2.0,0.0,134.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,2,False,False,False,False,True,False,1.0892375274031696,-0.24471197941774533,6.0,488333.3333333333,732500.0,4.90527477843843
Abbotsford,40 Federation La,3,850000.0,Biggin,2.5,3067.0,3.0,2.0,1.0,94.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,2,False,False,False,False,False,False,-0.2670026990625337,-0.27147368660949717,6.0,283333.3333333333,425000.0,4.553876891600541
Abbotsford,55a Park St,4,1600000.0,Nelson,2.5,3067.0,3.0,1.0,2.0,120.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,2,False,False,False,False,False,True,1.3869487966273484,-0.25407857693485847,3.0,400000.0,1600000.0,4.795790545596741
Abbotsford,129 Charles St,2,941000.0,Jellis,2.5,3067.0,2.0,1.0,0.0,181.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,-0.06632325091882804,-0.21326697346743692,2.0,470500.0,941000.0,5.204006687076795
Abbotsford,124 Yarra St,3,1876000.0,Nelson,2.5,3067.0,4.0,2.0,0.0,245.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,1.9956029470412249,-0.17044824196063396,8.0,625333.3333333334,938000.0,5.5053315359323625
Abbotsford,98 Charles St,2,1636000.0,Nelson,2.5,3067.0,2.0,1.0,2.0,256.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,1.4663384684204628,-0.1630887724829022,2.0,818000.0,1636000.0,5.54907608489522
Abbotsford,6/241 Nicholson St,1,300000.0,Biggin,2.5,3067.0,1.0,1.0,1.0,0.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,0,False,True,True,False,False,False,-1.4799004625684473,-0.334363698510114,1.0,300000.0,300000.0,0.0
Abbotsford,10 Valiant St,2,1097000.0,Biggin,2.5,3067.0,3.0,1.0,2.0,220.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.27769866018466743,-0.18717430895547887,3.0,548500.0,1097000.0,5.3981627015177525
Abbotsford,411/8 Grosvenor St,2,700000.0,Jellis,2.5,3067.0,2.0,2.0,1.0,0.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,0,False,True,False,False,False,True,-0.5977929982005101,-0.334363698510114,4.0,350000.0,350000.0,0.0
Abbotsford,40 Nicholson St,3,1350000.0,Nelson,2.5,3067.0,3.0,2.0,2.0,214.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,2,False,False,False,False,False,True,0.8356316313973876,-0.19118856503424164,6.0,450000.0,675000.0,5.3706380281276624
Abbotsford,123/56 Nicholson St,2,750000.0,Biggin,2.5,3067.0,2.0,2.0,1.0,0.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,0,False,True,True,False,False,False,-0.487529565154518,-0.334363698510114,4.0,375000.0,375000.0,0.0
Abbotsford,45 William St,2,1172500.0,Biggin,2.5,3067.0,2.0,1.0,1.0,195.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.44419644408411557,-0.20390037595032376,2.0,586250.0,1172500.0,5.278114659230518
Abbotsford,7/20 Abbotsford St,1,441000.0,Greg,2.5,3067.0,1.0,1.0,1.0,0.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,0,False,True,False,False,True,False,-1.1689575813787494,-0.334363698510114,1.0,441000.0,441000.0,0.0
Abbotsford,16 William St,2,1310000.0,Jellis,2.5,3067.0,2.0,1.0,2.0,238.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.7474208849605939,-0.17513154071919054,2.0,655000.0,1310000.0,5.476463551931511
Abbotsford,42 Henry St,3,1200000.0,Jellis,2.5,3067.0,3.0,2.0,1.0,113.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.5048413322594112,-0.258761875693415,6.0,400000.0,600000.0,4.736198448394496
Abbotsford,78 Yarra St,3,1176500.0,LITTLE,2.5,3067.0,2.0,1.0,1.0,138.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.45301751872779494,-0.24203580869857014,2.0,392166.6666666667,1176500.0,4.9344739331306915
Abbotsford,196 Nicholson St,3,955000.0,Collins,2.5,3067.0,3.0,1.0,0.0,183.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,-0.03544948966595024,-0.21192888810784932,3.0,318333.3333333333,955000.0,5.214935757608986
Abbotsford,42 Valiant St,2,890000.0,Biggin,2.5,3067.0,2.0,1.0,1.0,150.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,-0.17879195262574002,-0.23400729654104457,2.0,445000.0,890000.0,5.017279836814924
Abbotsford,3/72 Charles St,4,1330000.0,Kay,2.5,3067.0,4.0,2.0,2.0,780.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,2,False,False,False,False,False,False,0.7915262581789908,0.18748959172904692,8.0,332500.0,665000.0,6.660575149839686
Abbotsford,13/11 Nicholson St,3,900000.0,Beller,2.5,3067.0,3.0,2.0,2.0,0.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,1,True,False,True,False,False,False,-0.1567392660165416,-0.334363698510114,6.0,300000.0,450000.0,0.0
Abbotsford,138/56 Nicholson St,3,1090000.0,Jellis,2.5,3067.0,3.0,2.0,2.0,4290.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,0,False,True,True,False,False,False,0.26226177955822855,2.535829397805271,6.0,363333.3333333333,545000.0,8.364275084991524
Abbotsford,6/219 Nicholson St,2,500000.0,Collins,2.5,3067.0,2.0,1.0,1.0,0.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,0,False,True,True,False,False,False,-1.0388467303844786,-0.334363698510114,2.0,250000.0,500000.0,0.0
Abbotsford,52a William St,2,1100000.0,Biggin,2.5,3067.0,2.0,2.0,1.0,124.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,2,False,False,False,False,False,False,0.28431446616742695,-0.25140240621568327,4.0,550000.0,550000.0,4.8283137373023015
Abbotsford,49 Park St,2,1315000.0,Marshall,2.5,3067.0,2.0,1.0,0.0,147.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.7584472282651932,-0.23601442458042599,2.0,657500.0,1315000.0,4.997212273764115
Abbotsford,5/20 Abbotsford St,1,426000.0,Greg,2.5,3067.0,1.0,1.0,1.0,0.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,0,False,True,False,False,True,False,-1.2020366112925471,-0.334363698510114,1.0,426000.0,426000.0,0.0
Abbotsford,48 Abbotsford St,3,1447500.0,Nelson,2.5,3067.0,3.0,3.0,1.0,166.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,2,False,False,False,False,False,False,1.0506453258370723,-0.22330261366434384,9.0,482500.0,482500.0,5.117993812416755
Abbotsford,116/56 Nicholson St,1,457000.0,Jellis,2.5,3067.0,1.0,1.0,1.0,0.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,0,False,True,True,False,False,False,-1.133673282804032,-0.334363698510114,1.0,457000.0,457000.0,0.0
Abbotsford,159 Park St,2,1135000.0,Nelson,2.5,3067.0,2.0,2.0,2.0,98.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.36149886929962144,-0.26879751589032197,4.0,567500.0,567500.0,4.59511985013459
Abbotsford,31 Turner St,4,1542000.0,Collins,2.5,3067.0,4.0,3.0,1.0,0.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,1.2590432142939973,-0.334363698510114,12.0,385500.0,514000.0,0.0
Abbotsford,166 Gipps St,3,1290000.0,Biggin,2.5,3067.0,3.0,2.0,2.0,147.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.7033155117421971,-0.23601442458042599,6.0,430000.0,645000.0,4.997212273764115
Abbotsford,60 Stafford St,3,1290000.0,Biggin,2.5,3067.0,3.0,1.0,1.0,168.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.7033155117421971,-0.22196452830475627,3.0,430000.0,1290000.0,5.1298987149230735
Abbotsford,11/205 Gipps St,1,470000.0,Nelson,2.5,3067.0,1.0,1.0,1.0,0.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,0,False,True,True,False,False,False,-1.1050047902120739,-0.334363698510114,1.0,470000.0,470000.0,0.0
Abbotsford,47 Studley St,2,1180000.0,Jellis,2.5,3067.0,2.0,1.0,0.0,162.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.4607359590410144,-0.22597878438351904,2.0,590000.0,1180000.0,5.093750200806762
Abbotsford,45 Yarra St,3,1195000.0,Jellis,2.5,3067.0,3.0,2.0,1.0,120.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,2,False,False,False,False,True,False,0.493814988954812,-0.25407857693485847,6.0,398333.3333333333,597500.0,4.795790545596741
Abbotsford,200 Nicholson St,2,1012500.0,Nelson,2.5,3067.0,2.0,1.0,0.0,182.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.09135345833694071,-0.2125979307876431,2.0,506250.0,1012500.0,5.209486152841421
Abbotsford,27 Charles St,2,1030000.0,Biggin,2.5,3067.0,2.0,1.0,1.0,172.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,2,False,False,True,False,False,False,0.12994565990303797,-0.21928835758558107,2.0,515000.0,1030000.0,5.153291594497779
Airport West,154 Halsey Rd,3,840000.0,Nelson,13.5,3042.0,3.0,2.0,1.0,303.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,1,True,False,False,False,False,False,-0.28905538567173217,-0.1316437665325938,6.0,280000.0,420000.0,5.717027701406222
Airport West,50 Bedford St,3,730000.0,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,2,False,False,False,False,False,True,-0.5316349383729149,-0.334363698510114,6.0,243333.33333333334,365000.0,0.0
Airport West,50 Bedford St,3,770000.0,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,2,False,False,False,False,True,False,-0.44342419193612115,-0.334363698510114,6.0,256666.66666666666,385000.0,0.0
Airport West,23 Hart St,2,603000.0,Nelson,13.5,3042.0,2.0,1.0,1.0,272.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,2,False,False,True,False,False,False,-0.8117040583097349,-0.15238408960620148,2.0,301500.0,603000.0,5.60947179518496
Airport West,1/80 Hawker St,3,700000.0,Brad,13.5,3042.0,3.0,2.0,2.0,239.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,1,True,False,True,False,False,False,-0.5977929982005101,-0.17446249803939673,6.0,233333.33333333334,350000.0,5.480638923341991
Airport West,1/37 Hillside Gr,3,600000.0,Maddison,13.5,3042.0,2.0,1.0,1.0,290.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,2,False,False,True,False,False,False,-0.8183198642924944,-0.14034132136991315,2.0,200000.0,600000.0,5.673323267171493
